City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
556,Manggar,ID,85.17,very heavy rain,-2.8833,108.2667,Guest Hotel
558,Domoni,KM,78.73,light rain,-12.2569,44.5319,Al Djadid
559,Hobyo,SO,81.48,broken clouds,5.3505,48.5268,Iftin hotel hobyo
561,Tignere,CM,65.88,overcast clouds,7.3667,12.65,SADECK
562,Itarema,BR,75.81,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
565,Tibagi,BR,64.81,overcast clouds,-24.5094,-50.4136,Far View Inn
567,Hami,CN,61.79,overcast clouds,42.8,93.45,Laoyutang Resort
568,Mersing,MY,85.91,scattered clouds,2.4312,103.8405,Timotel Hotel
570,Ewa Beach,US,80.55,broken clouds,21.3156,-158.0072,Base Lodging
571,Luzhou,CN,78.94,clear sky,28.8724,105.4405,Shijichun Hotel
572,Loiza,PR,75.81,few clouds,18.4313,-65.8802,Puerto Rico Vacation Villas at Aquatika
577,Korla,CN,68.07,overcast clouds,41.7597,86.1469,Gulisitan Hotel
583,Puerto Baquerizo Moreno,EC,78.19,broken clouds,-0.9,-89.6,Hotel los Algarrobos
589,Buraydah,SA,70.25,broken clouds,26.326,43.975,Mövenpick Qassim
590,Ranot,TH,83.89,few clouds,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
591,Emerald,AU,89.74,scattered clouds,-23.5333,148.1667,The Irish Village
592,Semnan,IR,63.82,clear sky,35.5729,53.3971,Semnan Tourist Hotel
594,Ankang,CN,79.61,clear sky,32.68,109.0172,安琪酒店
596,San Matias,BO,76.28,scattered clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
597,Bac Lieu,VN,83.91,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
599,Dembi Dolo,ET,60.01,light rain,8.5333,34.8,Dembi dollo plaza
601,Guarapari,BR,78.89,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
602,Shaoyang,CN,73.29,broken clouds,27.2315,111.4525,IU Hotel Shaoyang Xihu Road
604,Humaita,BR,74.16,moderate rain,-7.5061,-63.0208,Corrêa Hotel
605,Barpeta,IN,77.14,scattered clouds,26.3167,91.0,Baba Ka Dhaba Hotel
608,Nara,JP,77.97,clear sky,34.6851,135.8049,Guesthouse Nara Komachi
611,Porto Novo,BJ,80.04,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
613,Weifang,CN,83.57,clear sky,36.71,119.1019,潍坊国际金融大酒店
615,Touros,BR,78.6,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
616,Pontes E Lacerda,BR,72.27,scattered clouds,-15.2261,-59.3353,Hotel Bressan
617,Korhogo,CI,77.52,scattered clouds,9.45,-5.6333,Hôtel Tchinbota
621,Najran,SA,63.25,clear sky,17.4924,44.1277,محمد هادي ال فطيح
622,Son Tay,VN,78.73,few clouds,21.1378,105.505,Khách Sạn Đông Thành
623,Bullhead City,US,91.69,clear sky,35.1478,-114.5683,Harrah's Laughlin
625,Ruidoso,US,62.87,clear sky,33.3317,-105.673,Inn of the Mountain Gods
627,Khash,IR,71.47,overcast clouds,28.2211,61.2158,خوابگاه آبجی محدثه
628,Qingdao,CN,67.6,clear sky,36.0986,120.3719,Le Meridien Qingdao
632,Buala,SB,85.12,light rain,-8.145,159.5921,Maringe Lagoon Lodge
